This sheet brings together all the data and decides on the classification,,,,,,Min_class=,20,arcsec,Guard-band,5,arcsec,,,,,,,,,
name,validity flag,Comment,A,B,C,PA,RA centroid,Dec centroid,Class,ra_wise,dec_wise,ra_des,dec_des,MAG_AUTO,RA_desi,DEC_desi,photo_z,L_{888},ABS_MAG,flux
J201423.6-482507,4,fr2 DD,45.8,61.6794,28.3454,315.3064,303.5990344,-48.41805684,FR2,303.5983132,-48.4185649,0,0,0,0,0,0,0,0,0.001284192
J201435.0-484022,1,bent fr2. ,62.80127387,87.43908713,38.19173212,51.90072086,303.6573574,-48.667926,FR2,303.6457768,-48.6726827,0,0,0,0,0,0,0,0,0.011674395
J201441.3-511417,4,core-dominated triple,43.8,63.0945,33.5333,44.571465,303.672877,-51.23739397,FR2,303.6722335,-51.238172,303.672222,-51.238223,20.8905,303.672216,-51.23824986,0.80898666,0,0,0.006312144
J201444.2-623258,4,asymmetric double,21.9,44.2442,24.1254,46.66585,303.6855705,-62.54925367,FRx,303.6843345,-62.5495317,0,0,0,0,0,0,0,0,0.003657101
J201445.8-501308,4,single peak elongated source,0,39.553,14.4359,96.3235593,303.6915883,-50.21886458,SINGLE,303.6910137,-50.2189857,303.691071,-50.218865,20.4579,303.6910678,-50.21886518,0.48340616,0,0,0.000306552
J201447.3-585724,4,fr2,141,172.012,48.296,8.746162,303.7006054,-58.96336501,FR2,303.6970474,-58.9565952,303.697134,-58.956634,16.4871,0,0,0,0,0,0.036090155
J201453.2-482739,1,fr2,68.81860214,101.0199061,33.89625464,123.6160831,303.7241945,-48.46219322,FR2,303.7216455,-48.4608684,0,0,0,0,0,0,0,0,0.119183285
J201454.2-490456,4,hymors? Id ok,82.2,116.178,25.3155,0.8848066,303.7263245,-49.08744409,FR2,303.725893,-49.0821229,0,0,0,0,0,0,0,0,0.003148361
J201458.7-505853,1,fr2,44.73136639,66.73632353,25.03012306,11.21047373,303.7438685,-50.98012239,FR2,303.7443855,-50.9813951,303.744465,-50.981427,18.0084,303.7444654,-50.98142887,0.2715656,2.16E+24,-22.76767571,0.007410994
J201459.6-524122,4,fr2,26.8,42.8085,21.1588,63.43494,303.7459352,-52.68991786,FR2,303.7482312,-52.6895641,303.748303,-52.689637,18.8666,303.7483021,-52.68964443,0.31217816,2.03E+23,-22.25704517,0
J201500.4-611003,4,bt,25.4,47.0469,28.3809,90,303.7514701,-61.16939701,FRx,303.7515128,-61.1676131,0,0,0,0,0,0,0,0,0.008545128
J201506.1-503049,1,frx,24.16609195,50.29232103,26.19359784,109.3531654,303.775552,-50.5134827,FRx,303.7752684,-50.5136576,303.775287,-50.513546,23.5982,0,0,0,0,0,0.015835992
J201506.5-584847,1,frx,20.39607805,48.42347043,31.39627867,17.35045519,303.7787683,-58.81415021,FR1,303.7772829,-58.8131799,303.777956,-58.813516,22.7258,303.7779595,-58.81348846,1.1898102,4.55E+26,-21.89917962,0.042732819
J201507.1-575031,1,triple fr2,50.17193988,81.74523969,27.91056334,66.37796812,303.7781114,-57.84178462,FR2,303.7795491,-57.8419161,303.779687,-57.842036,23.7792,0,0,0,0,0,0.033417927
J201507.9-592812,1,frx,0,46.22497361,29.84032967,87.49035565,303.7816524,-59.46945481,SINGLE,303.7828161,-59.470016,303.782706,-59.470092,21.2239,303.7827111,-59.47009574,0.6544686,3.3E+25,-21.80797369,0.014496403
J201517.4-491616,4,asymmetric fr2,55.5,83.658,34.6002,6.542968,303.8205479,-49.27336573,FR2,303.8227023,-49.2712034,0,0,0,0,0,0,0,0,0.006443856
J201519.1-491026,4,elongated source,0,52.6126,21.9539,127.95423,303.8321918,-49.17530105,SINGLE,303.8296607,-49.1738072,0,0,0,0,0,0,0,0,0.000388836
J201530.3-614347,4,fr2. note possible additional lobes,85.2,106.7195,24.743,83.60104,303.8729475,-61.73066762,FR2,303.8764028,-61.7295924,303.876331,-61.729545,21.1003,303.8763247,-61.72955233,0.6716449,8.17E+24,-21.99999033,0.000568742
J201531.8-530730,1,frx,17.08800749,41.33423781,23.20917193,19.85811229,303.8838947,-53.12446753,FR1,303.8825232,-53.1248765,303.881992,-53.124755,23.5502,303.883329,-53.12512548,0.74800944,2.64E+25,-19.83534234,0.007723631
J201536.4-492001,4,frx,18.4,58.2098,21.5382,52.66046,303.9026736,-49.33287735,FR1,303.9018231,-49.3337006,0,0,0,0,0,0,0,0,0.000694651
J201539.8-594536,1,frx,16.1245155,37.53231701,23.08588459,29.8023068,303.9161152,-59.7601422,FR1,303.9158696,-59.7598761,303.916624,-59.759752,25.6304,0,0,0,0,0,0.00678294
J201540.3-484200,4,frx,29.72,61.0649,28.2737,78.7449,303.9206708,-48.69945907,FRx,303.9180763,-48.6997808,0,0,0,0,0,0,0,0,0.025372075
J201540.9-493008,1,frx,28.42534081,55.60356005,29.6602471,125.0574426,303.9211656,-49.50240868,FRx,303.9206071,-49.5022518,0,0,0,0,0,0,0,0,0.030672228
J201543.3-482852,4,fr2,53.8,89.1148,32.0631,93.3664606,303.9310297,-48.48161224,FR2,303.9302636,-48.4811082,0,0,0,0,0,0,0,0,0.010753997
J201547.1-505533,1,fr2,64.03124237,82.12389615,19.05269532,51.85599722,303.9479886,-50.92450558,FR2,303.9464533,-50.9259058,303.946299,-50.925835,25.9939,0,0,0,0,0,0.003689679
J201547.9-593000,1,elongated single peak,0,31.70215791,17.97159064,25.37048975,303.9496847,-59.50000968,SINGLE,303.949753,-59.5001011,303.949626,-59.499688,21.8957,303.9496149,-59.49969766,0.9009142,0,0,0.002825868
